"页面","印象数","点击次数","点击率","平均排名"
"https://www.periodhub.health/en/articles/nsaid-menstrual-pain-professional-guide","696","26","3.74%","5.19395632183908"
"https://www.periodhub.health/zh/articles/menstrual-pain-medical-guide","524","38","7.25%","6.55914866412214"
"https://www.periodhub.health/en/articles/heat-therapy-complete-guide","140","7","5%","3.50715285714286"
"https://www.periodhub.health/en/articles/menstrual-pain-medical-guide","137","2","1.46%","7.41606204379562"
"https://www.periodhub.health/zh/articles/heat-therapy-complete-guide","63","10","15.87%","3.85714126984127"
"https://www.periodhub.health/zh/articles/pain-management/understanding-dysmenorrhea","26","1","3.85%","8.11538846153846"
"https://www.periodhub.health/zh/articles/comprehensive-iud-guide","20","0","0%","7.00001"
"https://www.periodhub.health/zh","17","1","5.88%","5.58821764705882"
"https://www.periodhub.health/zh/articles/essential-oils-aromatherapy-menstrual-pain-guide","17","0","0%","2.64705882352941"
"https://www.periodhub.health/en/articles/period-friendly-recipes","16","0","0%","7.18750625"
"https://www.periodhub.health/zh/articles/when-to-see-doctor-period-pain","12","2","16.67%","5.08333333333333"
"https://www.periodhub.health/en/articles/period-pain-simulator-accuracy-analysis","11","0","0%","4.54547272727273"
"https://www.periodhub.health/zh/articles/nsaid-menstrual-pain-professional-guide","11","1","9.09%","5.54544545454545"
"https://www.periodhub.health/zh/health-guide/understanding-pain","8","0","0%","7.9999875"
"https://www.periodhub.health/zh/articles/period-friendly-recipes","7","0","0%","5.71428571428571"
"https://www.periodhub.health/zh/immediate-relief","7","1","14.29%","5.42858571428572"
"https://www.periodhub.health/zh/articles/magnesium-gut-health-comprehensive-guide","7","0","0%","5.28571428571429"
"https://www.periodhub.health/en","5","2","40%","1.8"
"https://www.periodhub.health/en/articles/when-to-see-doctor-period-pain","5","0","0%","8.4"
"https://www.periodhub.health/pdf-files/zhan-zhuang-baduanjin-illustrated-guide-en.pdf","5","0","0%","9.8"
"https://www.periodhub.health/en/articles/pain-management/understanding-dysmenorrhea","4","0","0%","6.5"
"https://www.periodhub.health/en/articles/global-traditional-menstrual-pain-relief","4","0","0%","42"
"https://www.periodhub.health/en/articles/essential-oils-aromatherapy-menstrual-pain-guide","3","0","0%","9.33333333333333"
"https://www.periodhub.health/zh/health-guide","3","1","33.33%","9.66666666666667"
"https://www.periodhub.health/en/interactive-tools/period-pain-assessment","3","0","0%","4.66666666666667"
"https://www.periodhub.health/en/articles/menstrual-pain-faq-expert-answers","2","0","0%","7"
"https://www.periodhub.health/en/health-guide","2","0","0%","6.5"
"https://www.periodhub.health/pdf-files/healthy-habits-checklist-en.pdf","2","1","50%","4"
"https://www.periodhub.health/en/immediate-relief","2","0","0%","9"
"https://www.periodhub.health/zh/health-guide/relief-methods","2","0","0%","8.5"
"https://www.periodhub.health/en/articles/us-menstrual-pain-insurance-coverage-guide","2","1","50%","2"
"https://www.periodhub.health/en/interactive-tools","2","0","0%","6.5"
"https://www.periodhub.health/zh/articles/menstrual-pain-vs-other-abdominal-pain-guide","2","0","0%","4.5"
"https://www.periodhub.health/pdf-files/menstrual-cycle-nutrition-plan-en.pdf","1","0","0%","7"
"https://www.periodhub.health/en/articles/recommended-reading-list","1","0","0%","7"
"https://www.periodhub.health/pdf-files/specific-menstrual-pain-management-guide-en.pdf","1","0","0%","3"
"https://www.periodhub.health/en/articles/menstrual-nausea-relief-guide","1","0","0%","7"
"https://www.periodhub.health/en/articles/hidden-culprits-of-menstrual-pain","1","0","0%","8"
"https://www.periodhub.health/en/articles/effective-herbal-tea-menstrual-pain","1","0","0%","8"
"https://www.periodhub.health/en/articles/comprehensive-medical-guide-to-dysmenorrhea","1","1","100%","10"
"https://www.periodhub.health/en/teen-health/communication-guide","1","0","0%","10"
"https://www.periodhub.health/en/articles/magnesium-gut-health-comprehensive-guide","1","0","0%","8"
"https://www.periodhub.health/en/teen-health","1","0","0%","9"
"https://www.periodhub.health/en/interactive-tools/constitution-test","1","0","0%","6"
"https://www.periodhub.health/pdf-files/magnesium-gut-health-menstrual-pain-guide-en.pdf","1","0","0%","6"
"https://www.periodhub.health/en/interactive-tools/symptom-assessment","1","0","0%","4"
"https://www.periodhub.health/","1","0","0%","6"
"https://www.periodhub.health/en/health-guide/myths-facts","1","0","0%","4"
